0
0,01
True
0 8,78095328751064
0,01 -4,61405132646395
0,02 1,56172914968884
0,03 1,27529969032635
0,04 -7,9851395813679
0,05 -5,87456684367478
0,06 -7,66309020931976
0,07 -5,30475746621599
0,08 4,35721762215589
0,09 4,63870813820451
0,1 5,59356836396901
0,11 -8,42764206157422
0,12 -0,70188434361568
0,13 7,98187575209042
0,14 5,30692689833554
0,15 7,31516255872099
0,16 -6,18524846443219
0,17 -4,36992448492438
0,18 9,75687846530084
0,19 7,04432376522772
0,2 -0,529351695687208
0,21 3,6525799397624
0,22 7,24444175942077
0,23 7,21778649707222
0,24 -5,99911847896833
0,25 -9,1508166488031
0,26 8,53984074599102
0,27 2,23090868081474
0,28 -9,36300266504428
0,29 -1,59851438905975
0,3 1,27860040929103
0,31 -8,91550885462924
0,32 -5,13061356504011
0,33 -8,83856956792929
0,34 -8,5628957946612
0,35 -2,80540621504439
0,36 -8,69643607116138
0,37 1,06772678488294
0,38 3,93546765387778
0,39 -6,49672055453841
0,4 0,626827883826023
0,41 4,02190314327455
0,42 8,97295292419053
0,43 -5,87470617884524
0,44 -6,19654220351788
0,45 -8,05534927083894
0,46 5,22492470928697
0,47 -7,70353835900479
0,48 -3,70782931042268
0,49 9,94681676847246
0,5 2,48484565526473
0,51 -9,56242715919503
0,52 -9,78130224150666
0,53 -8,68197457803505
0,54 8,47132091339273
0,55 -4,87162665225175
0,56 -1,85849308588472
0,57 4,34394265261662
0,58 -2,72558183070532
0,59 -8,8343229325648
0,6 -4,4144075896658
0,61 0,106001109865495
0,62 -5,94175480117172
0,63 -4,04426798878436
0,64 -6,63989227108652
0,65 4,50907721859826
0,66 6,70297150346589
0,67 -1,86331477568639
0,68 6,54477154675162
0,69 -1,88766688662007
0,7 6,01159862988237
0,71 2,74702475068487
0,72 1,69460786119784
0,73 6,25359901983924
0,74 -3,5825041185983
0,75 5,44874516103824
0,76 4,67962701557187
0,77 3,119147938266
0,78 3,4143287005901
0,79 -7,94376920812939
0,8 -4,37574135809007
