0
0
False
0 8,8302550645686
0,01 -4,32846252775214
0,02 0,482202182049958
0,03 -6,156356635553
0,04 6,90276506212902
0,05 3,41896250025344
0,06 1,18302389843532
0,07 6,98092937682333
0,08 7,18983349620776
0,09 -8,42630499631651
0,1 -10,8026011563954
0,11 0,255009456264211
0,12 -3,57547577929669
0,13 -5,61704538401471
0,14 7,24021892369603
0,15 1,74801188785663
0,16 6,73657963570671
0,17 -1,8789041281862
0,18 -6,69440707454946
0,19 -2,26329256042787
0,2 -2,21029908787453
0,21 4,41685628136522
0,22 -1,66132406709866
0,23 2,19897359868176
0,24 4,11029912458997
0,25 8,45989585569754
0,26 7,4024850586177
0,27 -5,67737981426671
0,28 -1,7140580260235
0,29 -8,66260901873562
0,3 -7,66965977776731
0,31 -4,37137557633793
0,32 7,04803971598854
0,33 -4,29027275691791
0,34 -6,66162688998818
0,35 1,08405472255198
0,36 6,3579880051647
0,37 -6,82131067380774
0,38 -3,64302884133248
0,39 8,24314433709349
0,4 -5,40849762457963
0,41 3,81298937529823
0,42 0,801437498892286
0,43 -1,59448653426865
0,44 4,83909890943614
0,45 4,86260393275207
0,46 -5,32317167733837
0,47 7,80644909715312
0,48 -4,91885205600012
0,49 1,01686317277588
0,5 3,90281006571841
0,51 6,12583032598419
0,52 4,18014720972391
0,53 8,49601356125878
0,54 3,34477416802855
0,55 -5,47315370878122
0,56 6,34420629014806
0,57 9,18436305844835
0,58 0,823457687365046
0,59 9,55188055118228
0,6 7,12737857611082
0,61 -2,02850617385045
0,62 -2,19390358580842
0,63 4,76355341607785
0,64 8,13446587156425
0,65 4,45788552895387
0,66 4,29588085117681
0,67 -8,17631191128867
0,68 -9,84452938291752
0,69 -4,93274688774505
0,7 4,28113277380302
0,71 4,44700119862555
0,72 -9,14696419794261
0,73 -6,02866030275183
0,74 -5,96390582495912
0,75 3,06580044791616
0,76 -5,47567232641818
0,77 9,02405335628088
0,78 8,2689637781567
0,79 10,338604100729
0,8 4,89215842392502
0,810000000000001 8,7069450505535
0,820000000000001 10,1525631506423
0,830000000000001 8,36018789209151
0,840000000000001 -1,45630817536494
0,850000000000001 -2,68457901284259
0,860000000000001 2,55956832302906
0,870000000000001 9,66313526563884
0,880000000000001 3,47606398614445
0,890000000000001 9,92263790990213
0,900000000000001 5,85095954151483
0,910000000000001 8,28473605762744
0,920000000000001 3,46634274991833
0,930000000000001 -2,08379828140565
0,940000000000001 -7,77312312790642
0,950000000000001 5,73111966038191
0,960000000000001 -3,08199592778225
0,970000000000001 5,12899519392555
0,980000000000001 1,18015870527822
0,990000000000001 -8,52787550840662
1 -10,3241858073136
1,01 -8,23595065493859
1,02 6,54206939118174
1,03 8,90300392285604
1,04 7,62464130808397
1,05 10,544699958004
1,06 6,38168363301791
1,07 -0,68030357661515
1,08 3,37100827730882
1,09 9,17008260922149
1,1 10,8916295065479
1,11 8,40906402275827
1,12 -7,97570961081924
1,13 -0,404257302475051
1,14 -4,42918896165385
1,15 7,51154241666621
1,16 -1,27195843538186
1,17 0,536819611011164
1,18 -2,6710472996661
1,19 -0,0700460047040559
1,2 -9,19059188298628
1,21 3,52385467664686
1,22 -0,763264988322232
1,23 -8,67825620190856
1,24 0,325184679831232
1,25 7,10728582708469
1,26 -7,90825264020186
1,27 2,04794297457213
1,28 -7,3444262857345
1,29 -2,60391439642994
1,3 -2,94309251541049
1,31 -1,51375640945461
1,32 -1,24701423790843
1,33 5,88774839767222
1,34 9,57188081915352
1,35 2,01901816997469
1,36 -8,94603343151714
1,37 -9,86153168130264
1,38 -10,3755625069014
1,39 -3,11211904245979
1,4 1,82262626323041
1,41 -5,6712392094467
1,42 -4,59898412257907
1,43 3,21687026583205
