0
0,01
True
0 -3,96151902804222
0,01 8,11758725816271
0,02 -6,66523814977391
0,03 5,78972223018749
0,04 5,26802188496479
0,05 2,25221929710927
0,06 -1,79152022664972
0,07 -6,28813459365076
0,08 -5,6147797199035
0,09 -8,36040947509949
0,1 -1,20915159173736
0,11 9,14662730840343
0,12 -2,12908999627879
0,13 -4,31425439860404
0,14 4,97321926754584
0,15 -7,28890170216975
0,16 4,2619311130894
0,17 2,21079655560236
0,18 1,95184794811152
0,19 -9,78116341856362
0,2 4,94748594004078
0,21 6,9139930591518
0,22 5,18562309219764
0,23 3,42961125701182
0,24 -4,81911889036145
0,25 5,73863393428672
0,26 -9,96827662920965
0,27 0,0575312366977006
0,28 -8,20037765344622
0,29 -0,7395555035861
0,3 0,428474988056568
0,31 -4,03491128889607
0,32 5,51509969658921
0,33 1,93461247344251
0,34 6,38151024299744
0,35 4,58382219755269
0,36 -2,93071251033373
0,37 -2,15322550952119
0,38 0,415206575028229
0,39 -7,95089023092337
0,4 1,23640208097007
0,41 -1,1647139727905
0,42 9,76956862945555
0,43 -1,18166069089512
0,44 -2,14667648642635
0,45 -3,3026353797422
0,46 1,39262402029365
0,47 3,22677421068157
0,48 1,52702617995768
0,49 8,88048430852615
0,5 7,08524874275795
0,51 8,36695535963725
0,52 -4,38620124682141
0,53 5,47143359457675
0,54 2,7601624898427
0,55 -0,875512087194021
0,56 -7,06803583403492
0,57 -0,0948494067857268
0,58 0,608841120548938
0,59 9,52938795067807
0,6 2,22049592631892
0,61 8,15094853665258
0,62 -8,08775694020454
0,63 5,1247757836826
0,64 1,21111553684394
0,65 -7,17424030284129
0,66 -6,36847238818578
0,67 5,9362975302787
0,68 -0,695764641601484
0,69 -9,61060293000685
0,7 5,64181080816398
0,71 -3,58484337738941
0,72 -8,20441001942587
0,73 -0,0972618209651035
0,74 -1,0175654995337
0,75 -3,88780008716872
0,76 7,14442442969625
0,77 -3,63271621690724
0,78 -4,42371225656183
0,79 8,48351648938074
0,8 -5,65399008600693
0,81 -3,19505083989121
0,82 8,53050505674002
0,83 -7,08086196197237
0,84 2,17519575365595
0,85 2,06151962841932
0,86 -9,64871004207465
0,87 -9,95633389798754
0,88 9,17444998359981
0,89 -2,74297766980854
0,9 1,65185803158761
0,91 7,164136896452
0,92 7,23793336992987
0,93 0,885818624350158
0,94 -0,171386157242296
0,95 3,08545354431749
0,96 -3,07695703258596
0,97 -5,35520715422705
0,98 7,60722377226093
0,99 -4,97243618358506
1 -6,93416299155642
1,01 5,45632649001494
1,02 -6,07746114771695
1,03 1,13762910996453
1,04 -6,76132649963783
1,05 0,670092120147354
1,06 6,57136537906312
1,07 5,71106057414369
1,08 -3,51100090588955
1,09 -3,35203742298858
1,1 1,98006348310973
1,11 6,56468038287232
1,12 -5,6711371502239
1,13 2,12532463116819
1,14 5,183378036685
1,15 -4,58445323378986
1,16 9,62044347991256
1,17 8,99310502176783
1,18 -7,05041996997335
1,19 9,14959590842463
1,2 -7,52553026076664
1,21 -6,41213849019825
1,22 6,7618475466789
1,23 -7,95278697179294
1,24 -1,26246096159446
1,25 8,47767391171198
1,26 -0,822776747319278
1,27 0,909771356223976
1,28 -9,92587566372281
1,29 5,89698095614881
1,3 9,18915694541724
1,31 2,4996315839233
1,32 -1,23993998916817
1,33 -9,45127607297677
1,34 5,41767948093716
1,35 -1,11031657602187
1,36 -7,11758969217427
1,37 -2,60712405322451
1,38 9,68046453766546
1,39 -8,4948963664914
1,4 5,4901542493562
1,41 -5,35977061621834
1,42 3,55466700790202
1,43 2,52648740658839
1,44 5,27695884708173
1,45 5,08717764871529
1,46 2,8352740466759
1,47 -4,88739126123832
1,48 5,70244058766516
1,49 -5,58693292345243
1,5 3,46501006440493
1,51 -2,0700620543538
1,52 -8,3047871842537
1,53 8,4576278638363
1,54 -7,44690592281842
1,55 9,47797549864183
1,56 8,69447894333604
1,57 -8,124674175924
1,58 -7,59990992844101
1,59 -5,23900041134981
1,6 -8,50713113253337
1,61 -4,33840597716086
1,62 5,63693623786649
1,63 0,592018137961634
1,64 -2,54119436840582
1,65 9,48043189918642
1,66 -2,19537962795951
1,67 -6,21986107724712
1,68 6,70764515023103
1,69 -3,70630538729313
1,7 -7,4668635416156
1,71 2,22756753313708
1,72 9,31264048410237
1,73 -8,55552360348195
1,74 -6,34055834093157
1,75 7,8342403554517
1,76 0,0331945018997377
1,77 -5,76463985990949
1,78 -3,22974581887468
1,79 3,65036138969025
1,8 -4,35760013496392
1,81 -5,93538548608096
1,82 5,20733076855882
1,83 5,66105725972962
1,84 -7,56802910825612
1,85 1,25921899977104
1,86 0,804418768177005
1,87 0,30243214699553
1,88 7,99562984984165
1,89 5,93970398229533
1,9 0,195204480642081
1,91 -8,99291551625026
1,92 -5,00721412478351
